Fighter,Wins,Losses,Stance,Weight Class,Total Rounds Fought,Title fights,KOs,Submissions,TKO/DoctorStoppage,age,Gender,Height,Weight,Reach,WinRate
Rafael Dos Anjos,21,14,Southpaw,Lightweight,111,4,4,5,0,40,MALE,172.72,170,177.8,0.6
Clay Guida,20,19,Orthodox,Lightweight,105,2,2,5,0,42,MALE,170.18,155,177.8,0.513
Donald Cerrone,29,16,Orthodox,Welterweight,104,4,10,10,0,39,MALE,185.42,170,185.42,0.644
Andrei Arlovski,25,21,Orthodox,Heavyweight,103,5,11,2,0,45,MALE,190.5,240,195.58,0.543
Jim Miller,26,17,Southpaw,Lightweight,99,0,6,12,0,41,MALE,172.72,155,180.34,0.605
Frankie Edgar,18,10,Orthodox,Bantamweight,98,9,5,2,1,41,MALE,167.64,135,172.72,0.643
Max Holloway,22,7,Orthodox,Featherweight,98,9,11,2,1,32,MALE,180.34,145,175.26,0.759
Robbie Lawler,20,15,Southpaw,Welterweight,96,6,13,0,0,41,MALE,180.34,170,187.96,0.571
Anderson Silva,31,10,Southpaw,Middleweight,91,13,20,3,0,45,MALE,187.96,185,195.58,0.756
Jose Aldo,22,7,Orthodox,Bantamweight,90,15,11,0,0,38,MALE,170.18,135,177.8,0.759
Neil Magny,22,11,Orthodox,Welterweight,88,0,6,2,0,37,MALE,190.5,170,203.2,0.667
Diego Sanchez,22,12,Southpaw,Welterweight,86,2,6,2,0,38,MALE,177.8,170,182.88,0.647
Demian Maia,22,10,Southpaw,Welterweight,86,2,1,11,0,43,MALE,185.42,170,182.88,0.688
Jeremy Stephens,15,17,Orthodox,Lightweight,85,0,8,0,1,35,MALE,175.26,145,180.34,0.469
Mauricio Rua,27,13,Orthodox,Light Heavyweight,84,4,21,1,0,41,MALE,185.42,205,193.04,0.675
Alistair Overeem,33,15,Orthodox,Heavyweight,83,3,20,8,0,40,MALE,193.04,265,203.2,0.688
Cub Swanson,19,12,Orthodox,Featherweight,79,0,6,2,0,40,MALE,172.72,145,177.8,0.613
Ovince Saint Preux,21,13,Southpaw,Light Heavyweight,78,1,9,5,0,41,MALE,190.5,205,203.2,0.618
Michael Bisping,20,8,Orthodox,Middleweight,78,4,10,0,0,38,MALE,185.42,185,190.5,0.714
Urijah Faber,19,9,Orthodox,Bantamweight,78,4,2,12,0,40,MALE,167.64,135,170.18,0.679
Jorge Masvidal,17,10,Orthodox,Welterweight,77,3,7,1,0,38,MALE,180.34,170,187.96,0.63
Nate Diaz,19,12,Southpaw,Welterweight,77,3,4,11,0,37,MALE,182.88,170,193.04,0.613
Edson Barboza,18,11,Orthodox,Featherweight,76,0,9,0,0,38,MALE,180.34,145,190.5,0.621
Dustin Poirier,23,8,Southpaw,Lightweight,75,4,12,4,0,35,MALE,175.26,155,182.88,0.742
King Green,17,12,Orthodox,Lightweight,75,0,3,4,0,37,MALE,177.8,155,180.34,0.586
Alex Caceres,16,12,Southpaw,Featherweight,74,0,2,4,1,35,MALE,177.8,145,185.42,0.571
